id,question,GT_Value,GT_Ref,GT_Explanation,answer_unit,claude35-haiku_Value,claude35-haiku_Ref,claude35-haiku_ValCorrect,claude35-haiku_RefScore,claude35-haiku_NACorrect,claude37-sonnet_Value,claude37-sonnet_Ref,claude37-sonnet_ValCorrect,claude37-sonnet_RefScore,claude37-sonnet_NACorrect,claude37-sonnet-v2_Value,claude37-sonnet-v2_Ref,claude37-sonnet-v2_ValCorrect,claude37-sonnet-v2_RefScore,claude37-sonnet-v2_NACorrect,deepseek-r1_Value,deepseek-r1_Ref,deepseek-r1_ValCorrect,deepseek-r1_RefScore,deepseek-r1_NACorrect,ensemble-small-3way_Value,ensemble-small-3way_Ref,ensemble-small-3way_ValCorrect,ensemble-small-3way_RefScore,ensemble-small-3way_NACorrect,ensemble-top3_Value,ensemble-top3_Ref,ensemble-top3_ValCorrect,ensemble-top3_RefScore,ensemble-top3_NACorrect,haiku-baseline_Value,haiku-baseline_Ref,haiku-baseline_ValCorrect,haiku-baseline_RefScore,haiku-baseline_NACorrect,llama3-70b_Value,llama3-70b_Ref,llama3-70b_ValCorrect,llama3-70b_RefScore,llama3-70b_NACorrect,llama4-maverick_Value,llama4-maverick_Ref,llama4-maverick_ValCorrect,llama4-maverick_RefScore,llama4-maverick_NACorrect,llama4-scout_Value,llama4-scout_Ref,llama4-scout_ValCorrect,llama4-scout_RefScore,llama4-scout_NACorrect,llama4-scout-v2_Value,llama4-scout-v2_Ref,llama4-scout-v2_ValCorrect,llama4-scout-v2_RefScore,llama4-scout-v2_NACorrect,mistral-small_Value,mistral-small_Ref,mistral-small_ValCorrect,mistral-small_RefScore,mistral-small_NACorrect,nova-pro_Value,nova-pro_Ref,nova-pro_ValCorrect,nova-pro_RefScore,nova-pro_NACorrect,nova-pro-v2_Value,nova-pro-v2_Ref,nova-pro-v2_ValCorrect,nova-pro-v2_RefScore,nova-pro-v2_NACorrect,sonnet_Value,sonnet_Ref,sonnet_ValCorrect,sonnet_RefScore,sonnet_NACorrect,fixed_Value,fixed_Ref,fixed_ValCorrect,fixed_RefScore,fixed_NACorrect,ensemble_small_Value,ensemble_small_Ref,ensemble_small_ValCorrect,ensemble_small_RefScore,ensemble_small_NACorrect,jinav4_Value,jinav4_Ref,jinav4_ValCorrect,jinav4_RefScore,jinav4_NACorrect,llama4_maverick_Value,llama4_maverick_Ref,llama4_maverick_ValCorrect,llama4_maverick_RefScore,llama4_maverick_NACorrect,llama4_scout_Value,llama4_scout_Ref,llama4_scout_ValCorrect,llama4_scout_RefScore,llama4_scout_NACorrect,mistral_small_Value,mistral_small_Ref,mistral_small_ValCorrect,mistral_small_RefScore,mistral_small_NACorrect,new_Value,new_Ref,new_ValCorrect,new_RefScore,new_NACorrect,test_Value,test_Ref,test_ValCorrect,test_RefScore,test_NACorrect,v2_Value,v2_Ref,v2_ValCorrect,v2_RefScore,v2_NACorrect
q003,What is the name of the benchmark suite presented in a recent paper for measuring inference energy consumption?,ML.ENERGY Benchmark,['chung2025'],Quote,is_blank,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,,[],False,0.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,['chung2025'],True,1.0,True,ML.ENERGY Benchmark,['chung2025'],True,1.0,True,ML.ENERGY Benchmark,['chung2025'],True,1.0,True,ML.ENERGY Benchmark,['chung2025'],True,1.0,True,ML.ENERGY Benchmark,['chung2025'],True,1.0,True,ML.ENERGY Benchmark,['chung2025'],True,1.0,True,ML.ENERGY Benchmark,['chung2025'],True,1.0,True,,,,,,ML.ENERGY Benchmark,['chung2025'],True,1.0,True
q009,What were the net CO2e emissions from training the GShard-600B model?,4.3,['patterson2021'],Quote,tCO2e,0.5,"[""wu2021a""]",False,0.0,True,250000,"[""wu2021a""]",False,0.0,True,400,"[""wu2021a""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,0.55,"[""wu2021a""]",False,0.0,True,0.55,"[""is_blank"", ""wu2021a""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,0.55,"[""wu2021a""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,400000,"[""wu2021a""]",False,0.0,True,0.56,['patterson2021'],False,1.0,True,200,"['dodge2022', 'morrison2025', 'wu2021a']",False,0.0,True,312,['morrison2025'],False,0.0,True,200,['wu2021a'],False,0.0,True,200,"['morrison2025','dodge2022']",False,0.0,True,0.6,['wu2021a'],False,0.0,True,15,['luccioni2023'],False,0.0,True,"[-78.0,21.0]",['dodge2022'],False,0.0,True,15,['luccioni2023'],False,0.0,True
q054,What is the model size in gigabytes (GB) for the LLaMA-33B model?,64.7,['chen2024'],Table 3,GB,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""[ref_id=chen2024]"", ""chen2024""]",True,0.5,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""[ref_id=chen2024]""]",True,0.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,['chen2024'],True,1.0,True,64.7,['chen2024'],True,1.0,True,64.7,['chen2024'],True,1.0,True,130.1,['chen2024'],False,1.0,True,64.7,['chen2024'],True,1.0,True,64.7,['chen2024'],True,1.0,True,33,['samsi2024'],False,0.0,True,33,['samsi2024'],False,0.0,True,33,['samsi2024'],False,0.0,True
q062,"What was the total electricity consumption of all Google Cloud TPU pods worldwide in 2023, in megawatt-hours?",is_blank,is_blank,is_blank,MWh,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,is_blank,True,1.0,True,is_blank,is_blank,True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,103.5,['dodge2022'],True,0.0,False,103.5,['dodge2022'],True,0.0,False,"18,648",['dodge2022'],True,0.0,False,"103,500",['dodge2022'],True,0.0,False,103.5,['dodge2022'],True,0.0,False,"13,812.4",['dodge2022'],True,0.0,False,is_blank,is_blank,True,1.0,True,,,,,,"0.708,2.098",['li2025b'],True,0.0,False
q075,True or False: Hyperscale data centers in 2020 achieved more than 40% higher efficiency compared to traditional data centers.,1,"['wu2021b','patterson2021']","The >40% statement is explicit in Wu. Patterson's PUE numbers (1.59 vs 1.11) provide a numeric example consistent with ""more than 40% higher efficiency.""",is_blank,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,True,"[""wu2021b""]",False,0.5,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,TRUE,"[""wu2021b"", ""wu2021b"", ""wu2021b""]",False,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,is_blank,is_blank,False,0.0,True,1,['wu2021b'],True,0.5,True,40,['wu2021b'],False,0.5,True,1,['wu2021b'],True,0.5,True,1,['wu2021b'],True,0.5,True,1,['wu2021b'],True,0.5,True,1,['wu2021b'],True,0.5,True,40%,['wu2021b'],False,0.5,True,1,['wu2021b'],True,0.5,True
q078,"For every medium-length GPT-3 completion (prompt= 800 words; response 150 - 300 words), roughly how many 500 mL bottles of water does the model 'drink'?","[0.02,0.1]",['li2025b'],"The paper states that one 500ml bottle is consumed for every 10 to 50 responses. Therefore, one response consumes 1/50 to 1/10 of a bottle, which is 0.02 to 0.1 bottles.",500 mL bottles,,[],False,0.0,True,1/10 - 1/50 500 mL bottles,"[""li2025b""]",False,1.0,True,1/10 - 1/50,"[""li2025b""]",False,1.0,True,0.02-0.1,"[""li2025b""]",False,1.0,True,30,"[""[\""li2025b\""]"", ""li2025b""]",False,0.5,True,0.02-0.1,"[""[\""li2025b\""]"", ""li2025b""]",False,0.5,True,0.5,"[""li2025b""]",False,1.0,True,is_blank,"[""li2025b""]",False,1.0,True,30,"[""[\""li2025b\""]""]",False,0.0,True,10-50,"[""li2025b""]",False,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,10 to 50,"[""li2025b""]",False,1.0,True,is_blank,"[""li2025b""]",False,1.0,True,0.02-0.1,"[""li2025b""]",False,1.0,True,16.9,['li2025b'],False,1.0,True,"[10,50]",['li2025b'],False,1.0,True,"[10,50]",['li2025b'],False,1.0,True,16.9,['li2025b'],False,1.0,True,"[10,50]",['li2025b'],False,1.0,True,"[16.9,29.6]",['li2025b'],False,1.0,True,"[10,50]",['li2025b'],False,1.0,True,"[10,50]",['li2025b'],False,1.0,True,"[-50.0,10.0]",['li2025b'],False,1.0,True
q091,"From a sample of 60 papers from top AI conferences, what is the difference between the percentage of CVPR papers that target accuracy and the percentage of CVPR papers that target efficiency?",55,['schwartz2019'],Requires calculation (75-20),percent,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,55,"[""schwartz2019"", ""schwartz2019""]",True,1.0,True,,[],False,0.0,True,55,"[""schwartz2019""]",True,1.0,True,55,['schwartz2019'],True,1.0,True,55,['schwartz2019'],True,1.0,True,55,['schwartz2019'],True,1.0,True,55,['schwartz2019'],True,1.0,True,55,['schwartz2019'],True,1.0,True,55,['schwartz2019'],True,1.0,True,55,['schwartz2019'],True,1.0,True,55,['schwartz2019'],True,1.0,True,55,['schwartz2019'],True,1.0,True
q102,"True or False: The AI Act makes energy consumption data from providers publicly available to NGOs, analysts, and the general public.",0,['ebert2024'],Quote,is_blank,0,"[""ebert2024""]",True,1.0,True,FALSE,"[""ebert2024""]",False,1.0,True,0,"[""ebert2024""]",True,1.0,True,0,"[""ebert2024""]",True,1.0,True,0,"[""ebert2024"", ""is_blank""]",True,0.5,True,0,"[""ebert2024""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,0,"[""ebert2024""]",True,1.0,True,False,"[""ebert2024""]",False,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,,[],False,0.0,True,,[],False,0.0,True,0,"[""ebert2024""]",True,1.0,True,0,['ebert2024'],True,1.0,True,is_blank,is_blank,False,0.0,True,0,['ebert2024'],True,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,,,,,,is_blank,is_blank,False,0.0,True
q105,What is the projected maximum batch size (in samples) for fine-tuning a Mixtral model with a projected GPU capacity of 100?,28,['xia2024'],Figure,samples,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28 and 35,"[""xia2024""]",False,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,,[],False,0.0,True,28,"[""xia2024""]",True,1.0,True,28,['xia2024'],True,1.0,True,28,['xia2024'],True,1.0,True,28,['xia2024'],True,1.0,True,28,['xia2024'],True,1.0,True,28,['xia2024'],True,1.0,True,28,['xia2024'],True,1.0,True,"28,35",['xia2024'],False,1.0,True,35,['xia2024'],False,1.0,True,28,['xia2024'],True,1.0,True
q106,What was the approximate speedup in inference throughput for LLaMA-7B when using NVIDIA A100 GPUs compared to V100 GPUs?,2,['samsi2024'],Quote,multiplier,,[],False,0.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,['samsi2024'],True,1.0,True,2,['samsi2024'],True,1.0,True,"1.25,2",['samsi2024'],False,1.0,True,2,['samsi2024'],True,1.0,True,2,['samsi2024'],True,1.0,True,2,['samsi2024'],True,1.0,True,2,['samsi2024'],True,1.0,True,2,['samsi2024'],True,1.0,True,2,['samsi2024'],True,1.0,True
q124,"What is the estimated total operational water consumption for training GPT-3 in Microsoft's U.S. data centers, in million liters?",5439000,['li2025b'],Table,liters,5.439,"[""li2025b""]",False,1.0,True,5.439,"[""li2025b""]",False,1.0,True,5.439,"[""li2025b""]",False,1.0,True,,[],False,0.0,True,5.439,"[""li2025b""]",False,1.0,True,16.904,"[""li2025b""]",False,1.0,True,5.439,"[""li2025b""]",False,1.0,True,5.439,"[""li2025b""]",False,1.0,True,16.904,"[""li2025b""]",False,1.0,True,5.439,"[""li2025b""]",False,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,4.731,"[""li2025b""]",False,1.0,True,16.904,"[""li2025b""]",False,1.0,True,5.439,"[""li2025b""]",False,1.0,True,5400000,['jegham2025'],False,0.0,True,5.439,"['jegham2025', 'li2025b']",False,0.5,True,16.904,['li2025b'],False,1.0,True,5400000,['jegham2025'],False,0.0,True,5.439,['jegham2025'],False,0.0,True,5.439,['li2025b'],False,1.0,True,5.439,['li2025b'],False,1.0,True,,,,,,5.439,['li2025b'],False,1.0,True
q135,True or False: The authors propose that sustainability impact assessments (SIAs) should apply not just to high-risk AI but across all AI systems.,1,['ebert2024'],Quote,is_blank,1,"[""ebert2024""]",True,1.0,True,TRUE,"[""ebert2024""]",False,1.0,True,1,"[""ebert2024""]",True,1.0,True,1,"[""ebert2024""]",True,1.0,True,1,"[""ebert2024""]",True,1.0,True,1,"[""ebert2024""]",True,1.0,True,1,"[""ebert2024""]",True,1.0,True,1,"[""ebert2024""]",True,1.0,True,1,"[""ebert2024""]",True,1.0,True,TRUE,"[""ebert2024""]",False,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,True,"[""ebert2024"", ""ebert2024"", ""ebert2024""]",False,1.0,True,1,"[""ebert2024"", ""ebert2024"", ""ebert2024""]",True,1.0,True,1,"[""ebert2024""]",True,1.0,True,1,['ebert2024'],True,1.0,True,1,['ebert2024'],True,1.0,True,is_blank,is_blank,False,0.0,True,1,['ebert2024'],True,1.0,True,1,['ebert2024'],True,1.0,True,1,['ebert2024'],True,1.0,True,1,['ebert2024'],True,1.0,True,1,['ebert2024'],True,1.0,True,1,['ebert2024'],True,1.0,True
q139,"As of 2023, what was the water use effectiveness (WUE) for AWS data centers, in L/kWh?",0.18,['amazon2023'],Quote,L/kWh,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,"[""amazon2023""]",True,1.0,True,0.18,['amazon2023'],True,1.0,True,0.18,['amazon2023'],True,1.0,True,0.18,['amazon2023'],True,1.0,True,0.18,['amazon2023'],True,1.0,True,0.18,['amazon2023'],True,1.0,True,0.18,['amazon2023'],True,1.0,True,0.18,['amazon2023'],True,1.0,True,0.18,['amazon2023'],True,1.0,True,0.18,['amazon2023'],True,1.0,True
q146,True or False: Local inference was emphasized as a sustainability measure because it reduces both network overhead and carbon footprint when deploying large language models.,1,['khan2025'],Quote,is_blank,1,"[""khan2025""]",True,1.0,True,1,"[""khan2025""]",True,1.0,True,1,"[""khan2025""]",True,1.0,True,1,"[""khan2025""]",True,1.0,True,1,"[""khan2025""]",True,1.0,True,1,"[""khan2025""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,1,"[""khan2025""]",True,1.0,True,1,"[""khan2025""]",True,1.0,True,1,"[""khan2025""]",True,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,True,"[""khan2025""]",False,1.0,True,1,"[""khan2025""]",True,1.0,True,1,"[""khan2025""]",True,1.0,True,1,['samsi2024'],True,0.0,True,1,"['cottier2024', 'khan2025']",True,0.5,True,1,['khan2025'],True,1.0,True,1,"['cottier2024','khan2025']",True,0.5,True,45,['khan2025'],False,1.0,True,1,['khan2025'],True,1.0,True,1,['khan2025'],True,1.0,True,1,['khan2025'],True,1.0,True,1,['khan2025'],True,1.0,True
q153,True or False: Tracking the runtime of a training job is an important step for estimating compute cost in GPU-based or cloud environments.,1,['strubell2019'],Quote,is_blank,1,"[""strubell2019"", ""luccioni2023"", ""kim2025""]",True,0.3333333333333333,True,1,"[""strubell2019"", ""luccioni2023""]",True,0.5,True,1,"[""strubell2019"", ""luccioni2023""]",True,0.5,True,1,"[""luccioni2023"", ""strubell2019""]",True,0.5,True,1,"[""kim2025"", ""luccioni2023"", ""strubell2019""]",True,0.3333333333333333,True,1,"[""kim2025"", ""luccioni2023"", ""strubell2019""]",True,0.3333333333333333,True,1,"[""luccioni2023""]",True,0.0,True,1,"[""strubell2019"", ""luccioni2023""]",True,0.5,True,1,"[""luccioni2023"", ""strubell2019""]",True,0.5,True,1,"[""luccioni2023"", ""strubell2019""]",True,0.5,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,True,"[""strubell2019""]",False,1.0,True,1,"[""strubell2019""]",True,1.0,True,1,"[""strubell2019"", ""kim2025""]",True,0.5,True,1,"['xia2024','griggs2024','strubell2019']",True,0.3333333333333333,True,1,"['griggs2024', 'luccioni2023', 'strubell2019', 'xia2024']",True,0.25,True,1,"['strubell2019','griggs2024']",True,0.5,True,1,"['xia2024','griggs2024','strubell2019']",True,0.3333333333333333,True,1,['luccioni2023'],True,0.0,True,1,['luccioni2023'],True,0.0,True,1,['morrison2025'],True,0.0,True,1,"['ebert2024','dodge2022']",True,0.0,True,1,"['morrison2025','ebert2024']",True,0.0,True
q158,"For the LLaMA-65B model, what was the maximum performance improvement (latency reduction) achieved by enabling the automated resource utilization overlapping feature in the 2025 Chen et al. study?",13.2,['chen2024'],Quote,percent,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,,[],False,0.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,"[""chen2024""]",True,1.0,True,13.2,['chen2024'],True,1.0,True,13.2,['chen2024'],True,1.0,True,13.2,['chen2024'],True,1.0,True,13.2,['chen2024'],True,1.0,True,13.2,['chen2024'],True,1.0,True,13.2,['chen2024'],True,1.0,True,13.2,['chen2024'],True,1.0,True,13.2,['chen2024'],True,1.0,True,13.2,['chen2024'],True,1.0,True
q164,How much does an elephant weigh?,is_blank,is_blank,is_blank,lbs,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,is_blank,True,1.0,True,is_blank,is_blank,True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,"[6000,12000]",['amazon2023'],True,0.0,False,5000,['amazon2023'],True,0.0,False,"[10000,15000]",['amazon2023'],True,0.0,False,30,['han2024'],True,0.0,False,5000,['amazon2023'],True,0.0,False,"5,000",['amazon2023'],True,0.0,False,is_blank,is_blank,True,1.0,True,,,,,,is_blank,is_blank,True,1.0,True
q166,"Which of the following five large NLP DNNs has the highest energy consumption: Meena, T5, GPT-3, GShard-600B, or Switch Transformer?",GPT-3,['patterson2021'],Figure,is_blank,is_blank,"[""luccioni2025c""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank"", ""jegham2025"", ""luccioni2025c""]",False,0.0,True,is_blank,"[""is_blank"", ""jegham2025""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,DeepSeek-R1 (DS),"[""jegham2025""]",False,0.0,True,DeepSeek-R1 (DS),"[""jegham2025""]",False,0.0,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,is_blank,False,0.0,True,"1,287",['luccioni2025c'],False,0.0,True,DeepSeek-R1,['jegham2025'],False,0.0,True,21,['chung2025'],False,0.0,True,"1,287",['luccioni2025c'],False,0.0,True,3.2,['dodge2022'],False,0.0,True,0.443,['chung2025'],False,0.0,True,,,,,,29.078,['jegham2025'],False,0.0,True
q170,How many days of CO₂ emissions from an average American life are equivalent to training BERT base?,14.4,['strubell2019'],1438 lbs / 99.8 lbs/day = 14.4 ,days,36,"[""strubell2019""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,6321,"[""strubell2019""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,17.32,"[""strubell2019""]",False,1.0,True,17.32,"[""is_blank"", ""luccioni2025b"", ""strubell2019""]",False,0.3333333333333333,True,"626,155 lbs","[""strubell2019""]",False,1.0,True,,[],False,0.0,True,17.32,"[""strubell2019""]",False,1.0,True,17.3,"[""strubell2019"", ""luccioni2025b""]",False,0.5,True,is_blank,is_blank,False,0.0,True,is_blank,is_blank,False,0.0,True,"36,156","[""strubell2019""]",False,1.0,True,17.3,"[""strubell2019""]",False,1.0,True,17.3,"[""luccioni2025b"", ""strubell2019""]",False,0.5,True,1438,['strubell2019'],False,1.0,True,4,['strubell2019'],False,1.0,True,1,['dodge2022'],False,0.0,True,29,['strubell2019'],False,1.0,True,4,['strubell2019'],False,1.0,True,98.2,['dodge2022'],False,0.0,True,0.16,['dodge2022'],False,0.0,True,,,,,,14,['strubell2019'],False,1.0,True
